일시,강수량(mm),1시간최다강수량(mm)
2024-01-01,,
2024-01-02,,
2024-01-03,0.2,
2024-01-04,,
2024-01-05,,
2024-01-06,0.3,
2024-01-07,0,
2024-01-08,,
2024-01-09,2.8,
2024-01-10,0.6,
2024-01-11,,
2024-01-12,,
2024-01-13,,
2024-01-14,3.5,
2024-01-15,,
2024-01-16,,
2024-01-17,12.7,
2024-01-18,15.2,
2024-01-19,,
2024-01-20,12.2,
2024-01-21,0.2,
2024-01-22,0,
2024-01-23,0.1,
2024-01-24,0,
2024-01-25,,
2024-01-26,,
2024-01-27,,
2024-01-28,,
2024-01-29,,
2024-01-30,,
2024-01-31,0,
2024-02-01,,
2024-02-02,,
2024-02-03,0.4,
2024-02-04,1.3,
2024-02-05,12.3,
2024-02-06,1.1,
2024-02-07,,
2024-02-08,,
2024-02-09,,
2024-02-10,0,
2024-02-11,0,
2024-02-12,,
2024-02-13,,
2024-02-14,0,
2024-02-15,2,
2024-02-16,,
2024-02-17,,
2024-02-18,28.4,
2024-02-19,16.6,
2024-02-20,5,
2024-02-21,17.9,
2024-02-22,3.7,
2024-02-23,0,
2024-02-24,3.3,
2024-02-25,1.7,
2024-02-26,,
2024-02-27,,
2024-02-28,,
2024-02-29,0.2,
2024-03-01,,
2024-03-02,0,
2024-03-03,1.2,
2024-03-04,,
2024-03-05,2.5,
2024-03-06,,
2024-03-07,0,
2024-03-08,,
2024-03-09,,
2024-03-10,,
2024-03-11,,
2024-03-12,2,
2024-03-13,,
2024-03-14,,
2024-03-15,,
2024-03-16,0,
2024-03-17,0,
2024-03-18,,
2024-03-19,0,
2024-03-20,,
2024-03-21,,
2024-03-22,4.1,
2024-03-23,0.3,
2024-03-24,,
2024-03-25,6.8,
2024-03-26,19.5,
2024-03-27,,
2024-03-28,21.3,
2024-03-29,0.2,
2024-03-30,0,
2024-03-31,,
2024-04-01,,
2024-04-02,0,0
2024-04-03,16,2.3
2024-04-04,0,0
2024-04-05,0,0
2024-04-06,,
2024-04-07,,
2024-04-08,,
2024-04-09,,
2024-04-10,,
2024-04-11,,
2024-04-12,,
2024-04-13,,
2024-04-14,,
2024-04-15,7.5,2.9
2024-04-16,0.5,0.4
2024-04-17,,
2024-04-18,,
2024-04-19,,
2024-04-20,3.5,1
2024-04-21,0.1,0.1
2024-04-22,0,0
2024-04-23,0,0
2024-04-24,4.3,3.7
2024-04-25,,
2024-04-26,,
2024-04-27,,
2024-04-28,,
2024-04-29,0.8,0.6
2024-04-30,0,0
2024-05-01,,
2024-05-02,,
2024-05-03,,
2024-05-04,0,0
2024-05-05,55.4,7.2
2024-05-06,2,0.7
2024-05-07,14.1,3.7
2024-05-08,1.8,1.1
2024-05-09,,
2024-05-10,,
2024-05-11,8.5,4
2024-05-12,3.1,2.2
2024-05-13,,
2024-05-14,,
2024-05-15,8.7,4.4
2024-05-16,3,1.3
2024-05-17,,
2024-05-18,,
2024-05-19,,
2024-05-20,,
2024-05-21,,
2024-05-22,,
2024-05-23,,
2024-05-24,,
2024-05-25,,
2024-05-26,30.2,14.2
2024-05-27,,
2024-05-28,,
2024-05-29,,
2024-05-30,,
2024-05-31,,
2024-06-01,0,0
2024-06-02,,
2024-06-03,,
2024-06-04,,
2024-06-05,,
2024-06-06,,
2024-06-07,0,0
2024-06-08,4.7,1.7
2024-06-09,,
2024-06-10,,
2024-06-11,,
2024-06-12,,
2024-06-13,,
2024-06-14,0,0
2024-06-15,2.8,1.4
2024-06-16,,
2024-06-17,,
2024-06-18,,
2024-06-19,,
2024-06-20,,
2024-06-21,,
2024-06-22,13.2,3.4
2024-06-23,1.1,0.5
2024-06-24,,
2024-06-25,,
2024-06-26,,
2024-06-27,,
2024-06-28,,
2024-06-29,45.1,14.5
2024-06-30,10,3.7
2024-07-01,,
2024-07-02,57,23.3
2024-07-03,31.9,10.9
2024-07-04,,
2024-07-05,3.9,3.7
2024-07-06,0.1,0.1
2024-07-07,36.2,16.8
2024-07-08,137.5,27.8
2024-07-09,15.3,4.6
2024-07-10,88.6,45
2024-07-11,2.4,2.4
2024-07-12,,
2024-07-13,4.9,4.9
2024-07-14,,
2024-07-15,0.2,0.2
2024-07-16,45.6,25
2024-07-17,0.8,0.8
2024-07-18,28.8,16.4
2024-07-19,1.4,0.5
2024-07-20,15.2,7.2
2024-07-21,1.5,1.2
2024-07-22,,
2024-07-23,3.9,2.5
2024-07-24,2.5,2.5
2024-07-25,0.1,0.1
2024-07-26,1.3,1
2024-07-27,6,6
2024-07-28,,
2024-07-29,,
2024-07-30,,
2024-07-31,,
2024-08-01,,
2024-08-02,,
2024-08-03,,
2024-08-04,0.9,0.9
2024-08-05,34.3,27.8
2024-08-06,,
2024-08-07,1,1
2024-08-08,0,0
2024-08-09,,
2024-08-10,,
2024-08-11,,
2024-08-12,,
2024-08-13,19.3,19.3
2024-08-14,,
2024-08-15,,
2024-08-16,,
2024-08-17,,
2024-08-18,,
2024-08-19,0.1,0.1
2024-08-20,17,12
2024-08-21,3.8,2.2
2024-08-22,0.5,0.5
2024-08-23,,
2024-08-24,6.8,6.8
2024-08-25,0.5,0.5
2024-08-26,,
2024-08-27,0.1,0.1
2024-08-28,,
2024-08-29,3,3
2024-08-30,,
2024-08-31,,
2024-09-01,,
2024-09-02,0,0
2024-09-03,,
2024-09-04,,
2024-09-05,0,0
2024-09-06,0.5,0.4
2024-09-07,,
2024-09-08,,
2024-09-09,,
2024-09-10,,
2024-09-11,21.2,15.5
2024-09-12,4.1,4.6
2024-09-13,,
2024-09-14,,
2024-09-15,,
2024-09-16,0,0
2024-09-17,,
2024-09-18,2,2
2024-09-19,,
2024-09-20,45.6,12.9
2024-09-21,131.2,42.9
2024-09-22,,
2024-09-23,,
2024-09-24,,
2024-09-25,,
2024-09-26,,
2024-09-27,,
2024-09-28,,
2024-09-29,,
2024-09-30,,
2024-10-01,2,1.9
2024-10-02,,
2024-10-03,4,2
2024-10-04,,
2024-10-05,,
2024-10-06,0.2,0.2
2024-10-07,2.3,1.8
2024-10-08,,
2024-10-09,,
2024-10-10,0,0
2024-10-11,,
2024-10-12,,
2024-10-13,,
2024-10-14,8.3,1.9
2024-10-15,33.5,17.7
2024-10-16,,
2024-10-17,,
2024-10-18,41.6,21.2
2024-10-19,1.9,1
2024-10-20,,
2024-10-21,0.4,0.2
2024-10-22,13.1,1.8
2024-10-23,1.2,1
